Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BH-74B-5,1,CR2032,
BZ1,SMT0540SR,1,SMT-0540-S-R,
"C1, C2",0402,2,7pF,
"C3, C4, C5, C6",0402,4,10uF,
"D1, D2",0603,2,LED,
D3,D_SOD-323,1,1N4148WS,
IC1,LGA14R80P3X6_300X500X100,1,ADXL345BCCZ,
J1,PinHeader_1x02_P1.27mm_Vertical,1,NFC ANT,
Q1,SOT-23,1,S8050,
"R1, R2, R5",0402,3,1k,
"R3, R4",0402,2,27,
"R6, R7",0402,2,10k,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U1,Raytac_MDBT50Q,1,MDBT50Q-1MV2,
Y1,ABS07,1,32.768KHz,
